Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified,HetoFedBandit_Enhanced
17050,4804,0,7032,786,2472
17075,4804,0,7038,786,2472
17100,4804,0,7040,786,2472
17125,4804,0,7044,788,2472
17150,4804,0,7050,788,2472
17175,4804,0,7053,788,2472
17200,4804,0,7057,790,2472
17225,4804,0,7063,790,2472
17250,4804,0,7069,790,2472
17275,4804,0,7074,792,2548
17300,4804,0,7078,792,2548
17325,4804,0,7083,792,2548
17350,4804,0,7088,810,2548
17375,4804,0,7093,810,2548
17400,4804,0,7101,810,2548
17425,4804,0,7103,812,2548
17450,4804,0,7108,812,2548
17475,4804,0,7112,812,2548
17500,4804,0,7113,816,2548
17525,4804,0,7120,816,2548
17550,4804,0,7125,816,2548
17575,4804,0,7130,820,2548
17600,4804,0,7137,820,2548
17625,4804,0,7144,820,2548
17650,4804,0,7150,822,2548
17675,4804,0,7154,822,2548
17700,4804,0,7160,822,2548
17725,4804,0,7166,828,2548
17750,4804,0,7172,828,2548
17775,4804,0,7176,828,2548
17800,4804,0,7182,830,2548
17825,4804,0,7188,830,2548
17850,4804,0,7192,830,2548
17875,4804,0,7198,842,2548
17900,4804,0,7202,842,2548
17925,4804,0,7209,842,2548
17950,4804,0,7215,856,2548
17975,4804,0,7218,856,2548
18000,4804,0,7223,856,2548
18025,4804,0,7225,860,2548
18050,4804,0,7232,860,2548
18075,4804,0,7236,860,2548
18100,4804,0,7239,862,2548
18125,4804,0,7246,862,2548
18150,4804,0,7255,862,2548
18175,4804,0,7260,872,2548
18200,4804,0,7263,872,2548
18225,4804,0,7268,872,2548
18250,4954,0,7274,876,2624
18275,4954,0,7278,876,2624
18300,4954,0,7282,876,2624
18325,4954,0,7284,880,2624
18350,4954,0,7292,880,2624
18375,4954,0,7295,880,2624
18400,4954,0,7300,882,2624
18425,4954,0,7303,882,2624
18450,4954,0,7308,882,2624
18475,4954,0,7313,888,2624
18500,4954,0,7321,888,2624
18525,4954,0,7327,888,2624
18550,4954,0,7333,898,2624
18575,4954,0,7336,898,2624
18600,4954,0,7343,898,2624
18625,4954,0,7345,904,2624
18650,4954,0,7348,904,2624
18675,4954,0,7349,904,2624
18700,4954,0,7354,906,2624
18725,4954,0,7362,906,2624
18750,4954,0,7369,906,2624
18775,4954,0,7374,916,2624
18800,4954,0,7378,916,2624
18825,4954,0,7380,916,2624
18850,4954,0,7384,920,2624
18875,4954,0,7387,920,2624
18900,4954,0,7391,920,2624
18925,4954,0,7399,924,2624
18950,4954,0,7408,924,2624
18975,4954,0,7412,924,2699
19000,4954,0,7415,926,2700
19025,4954,0,7419,926,2700
19050,4954,0,7422,926,2700
19075,4954,0,7428,930,2700
19100,4954,0,7437,930,2700
19125,4954,0,7440,930,2700
19150,4954,0,7444,932,2700
19175,4954,0,7449,932,2700
19200,4954,0,7454,932,2700
19225,4954,0,7461,934,2700
19250,4954,0,7468,934,2700
19275,4954,0,7471,934,2700
19300,4954,0,7474,936,2700
19325,4954,0,7479,936,2700
19350,4954,0,7483,936,2700
19375,4954,0,7488,938,2700
19400,4954,0,7491,938,2700
19425,4954,0,7495,938,2700
19450,4954,0,7498,956,2700
19475,4954,0,7506,956,2700
19500,4954,0,7510,956,2700
19525,4954,0,7515,960,2700
19550,4954,0,7520,960,2700
19575,4954,0,7524,960,2700
19600,4954,0,7529,964,2700
19625,4954,0,7532,964,2700
19650,4954,0,7536,964,2700
19675,4954,0,7542,966,2700
19700,4954,0,7545,966,2700
19725,4954,0,7550,966,2700
19750,4954,0,7557,972,2700
19775,4954,0,7560,972,2700
19800,4954,0,7566,972,2700
19825,4954,0,7570,974,2700
19850,4954,0,7578,974,2700
19875,4954,0,7585,974,2700
19900,4954,0,7589,976,2700
19925,4954,0,7592,976,2700
19950,4954,0,7596,976,2700
19975,4954,0,7604,982,2700
20000,4954,0,7607,982,2700
20025,4954,0,7614,982,2700
20050,4954,0,7620,986,2776
20075,4954,0,7626,986,2776
20100,4954,0,7629,986,2776
20125,4954,0,7632,988,2776
20150,4954,0,7636,988,2776
20175,4954,0,7642,988,2776
20200,4954,0,7646,990,2776
20225,4954,0,7648,990,2776
20250,5104,0,7652,990,2776
20275,5104,0,7656,994,2776
20300,5104,0,7657,994,2776
20325,5104,0,7662,994,2776
20350,5104,0,7665,996,2776
20375,5104,0,7669,996,2776
20400,5104,0,7679,996,2776
20425,5104,0,7683,1010,2776
20450,5104,0,7686,1010,2776
20475,5104,0,7689,1010,2776
20500,5104,0,7695,1014,2776
20525,5104,0,7701,1014,2776
20550,5104,0,7703,1014,2776
20575,5104,0,7708,1020,2852
20600,5104,0,7713,1020,2852
20625,5104,0,7718,1020,2852
20650,5104,0,7724,1028,2852
20675,5104,0,7727,1028,2852
20700,5104,0,7733,1028,2852
20725,5104,0,7736,1030,2852
20750,5104,0,7739,1030,2852
20775,5104,0,7743,1030,2852
20800,5104,0,7749,1034,2852
20825,5104,0,7752,1034,2852
20850,5104,0,7759,1034,2852
20875,5104,0,7766,1036,2852
20900,5104,0,7769,1036,2852
20925,5104,0,7774,1036,2852
20950,5104,0,7777,1044,2852
20975,5104,0,7781,1044,2852
21000,5104,0,7781,1044,2852
21025,5104,0,7787,1046,2852
21050,5104,0,7791,1046,2852
21075,5104,0,7798,1046,2852
21100,5104,0,7804,1050,2852
21125,5104,0,7807,1050,2852
21150,5104,0,7811,1050,2852
21175,5104,0,7813,1052,2852
21200,5104,0,7815,1052,2852
21225,5104,0,7815,1052,2852
21250,5104,0,7818,1056,2852
21275,5104,0,7823,1056,2852
21300,5104,0,7826,1056,2852
21325,5104,0,7832,1058,2852
21350,5104,0,7840,1058,2852
21375,5104,0,7843,1058,2852
21400,5104,0,7846,1062,2852
21425,5104,0,7851,1062,2852
