Time(Iteration),DisLinUCB,NIndepLinUCB-alpha=0.3,FCLUB_DC,HetoFedBandit_Simplified
18525,5836,5358,3467,4600,757
18550,5841,5363,3470,4604,759
18575,5846,5373,3477,4612,761
18600,5851,5379,3482,4616,763
18625,5857,5388,3490,4623,764
18650,5862,5396,3495,4631,766
18675,5869,5404,3500,4640,766
18700,5872,5411,3506,4646,767
18725,5874,5414,3510,4648,767
18750,5878,5423,3517,4654,767
18775,5883,5429,3520,4658,770
18800,5889,5436,3525,4662,771
18825,5895,5446,3531,4669,773
18850,5902,5454,3535,4676,775
18875,5908,5465,3544,4683,776
18900,5915,5472,3547,4689,779
18925,5917,5480,3553,4696,779
18950,5921,5486,3557,4703,779
18975,5930,5498,3567,4708,780
19000,5934,5501,3568,4714,780
19025,5938,5505,3571,4720,781
19050,5944,5512,3577,4726,782
19075,5949,5520,3583,4731,782
19100,5952,5526,3587,4734,784
19125,5955,5532,3589,4740,787
19150,5962,5539,3593,4745,790
19175,5969,5547,3598,4754,791
19200,5975,5552,3601,4758,791
19225,5977,5563,3611,4769,791
19250,5983,5570,3613,4777,791
19275,5990,5579,3621,4785,791
19300,5993,5585,3626,4790,792
19325,5996,5592,3629,4798,793
19350,6003,5606,3636,4809,797
19375,6005,5613,3641,4814,798
19400,6009,5618,3644,4818,799
19425,6014,5626,3649,4825,800
19450,6020,5638,3659,4833,801
19475,6026,5649,3667,4836,804
19500,6031,5652,3672,4840,805
19525,6035,5659,3679,4848,807
19550,6042,5666,3687,4855,807
19575,6051,5677,3695,4861,808
19600,6055,5684,3701,4869,808
19625,6060,5698,3712,4881,808
19650,6068,5708,3717,4893,809
19675,6078,5718,3725,4902,809
19700,6083,5726,3728,4909,810
19725,6088,5735,3737,4918,812
19750,6093,5744,3744,4927,814
19775,6100,5748,3747,4934,816
19800,6102,5760,3754,4941,817
19825,6109,5772,3763,4950,818
19850,6113,5782,3771,4955,818
19875,6117,5787,3774,4960,819
19900,6124,5795,3781,4966,819
19925,6129,5804,3787,4974,819
19950,6134,5815,3796,4984,820
19975,6139,5823,3801,4992,820
20000,6141,5833,3807,4997,821
20025,6143,5839,3813,5001,822
20050,6151,5848,3819,5008,822
20075,6153,5857,3825,5014,824
20100,6158,5861,3828,5018,825
20125,6160,5868,3833,5025,828
20150,6164,5879,3839,5029,829
20175,6170,5886,3846,5035,830
20200,6173,5896,3851,5042,831
20225,6178,5903,3856,5050,831
20250,6181,5907,3859,5054,832
20275,6186,5914,3864,5065,833
20300,6188,5918,3866,5068,835
20325,6192,5927,3875,5073,835
20350,6198,5933,3877,5077,835
20375,6206,5946,3886,5087,837
20400,6209,5952,3892,5091,837
20425,6214,5956,3895,5096,838
20450,6216,5963,3899,5101,838
20475,6220,5971,3906,5110,838
20500,6221,5982,3914,5115,839
20525,6225,5992,3922,5120,840
20550,6228,5997,3925,5128,842
20575,6233,6003,3929,5134,844
20600,6239,6017,3939,5145,845
